Id,Age,Income,Emp_length,Amount,Rate,Status,Percent_income,Default,Cred_length,Home_MORTGAGE,Home_OTHER,Home_OWN,Home_RENT,Intent_DEBTCONSOLIDATION,Intent_EDUCATION,Intent_HOMEIMPROVEMENT,Intent_MEDICAL,Intent_PERSONAL,Intent_VENTURE
0,22,59000,123.0,35000,16.02,1,0.59,1,3,False,False,False,True,False,False,False,False,True,False
1,21,9600,5.0,1000,11.14,0,0.1,0,2,False,False,True,False,False,True,False,False,False,False
2,25,9600,1.0,5500,12.87,1,0.57,0,3,True,False,False,False,False,False,False,True,False,False
3,23,65500,4.0,35000,15.23,1,0.53,0,2,False,False,False,True,False,False,False,True,False,False
4,24,54400,8.0,35000,14.27,1,0.55,1,4,False,False,False,True,False,False,False,True,False,False
5,21,9900,2.0,2500,7.14,1,0.25,0,2,False,False,True,False,False,False,False,False,False,True
6,26,77100,8.0,35000,12.42,1,0.45,0,3,False,False,False,True,False,True,False,False,False,False
7,24,78956,5.0,35000,11.11,1,0.44,0,4,False,False,False,True,False,False,False,True,False,False
8,24,83000,8.0,35000,8.9,1,0.42,0,2,False,False,False,True,False,False,False,False,True,False
9,21,10000,6.0,1600,14.74,1,0.16,0,3,False,False,True,False,False,False,False,False,False,True
10,22,85000,6.0,35000,10.37,1,0.41,0,4,False,False,False,True,False,False,False,False,False,True
11,21,10000,2.0,4500,8.63,1,0.45,0,2,False,False,True,False,False,False,True,False,False,False
12,23,95000,2.0,35000,7.9,1,0.37,0,2,False,False,False,True,False,False,False,False,False,True
13,26,108160,4.0,35000,18.39,1,0.32,0,4,False,False,False,True,False,True,False,False,False,False
14,23,115000,2.0,35000,7.9,0,0.3,0,4,False,False,False,True,False,True,False,False,False,False
15,23,500000,7.0,30000,10.65,0,0.06,0,3,True,False,False,False,True,False,False,False,False,False
16,23,120000,0.0,35000,7.9,0,0.29,0,4,False,False,False,True,False,True,False,False,False,False
17,23,92111,7.0,35000,20.25,1,0.32,0,4,False,False,False,True,False,False,False,True,False,False
18,23,113000,8.0,35000,18.25,1,0.31,0,4,False,False,False,True,True,False,False,False,False,False
19,24,10800,8.0,1750,10.99,1,0.16,0,2,True,False,False,False,False,True,False,False,False,False
20,25,162500,2.0,35000,7.49,0,0.22,0,4,False,False,False,True,False,False,False,False,False,True
21,25,137000,9.0,34800,16.77,0,0.25,1,2,False,False,False,True,False,False,False,False,True,False
22,22,65000,4.0,34000,17.58,1,0.52,0,4,False,False,False,True,False,True,False,False,False,False
23,24,10980,0.0,1500,7.29,0,0.14,0,3,False,False,True,False,False,False,False,False,True,False
24,22,80000,3.0,33950,14.54,1,0.42,1,4,False,False,False,True,False,False,False,False,True,False
25,24,67746,8.0,33000,12.68,1,0.49,0,3,False,False,False,True,False,False,True,False,False,False
26,21,11000,3.0,4575,17.74,1,0.42,1,3,True,False,False,False,False,False,False,False,False,True
27,23,11000,0.0,1400,9.32,0,0.13,0,3,False,False,True,False,False,False,False,False,True,False
28,24,65000,6.0,32500,9.99,1,0.5,0,3,False,False,False,True,False,False,True,False,False,False
29,21,11389,5.0,4000,12.84,1,0.35,1,2,False,True,False,False,False,True,False,False,False,False
30,21,11520,5.0,2000,11.12,1,0.17,0,3,False,False,True,False,False,False,False,True,False,False
31,25,120000,2.0,32000,6.62,0,0.27,0,2,False,False,False,True,False,False,False,False,False,True
32,26,95000,7.0,31050,14.17,1,0.33,1,3,False,False,False,True,False,False,True,False,False,False
33,25,306000,2.0,24250,13.85,0,0.08,0,3,False,False,False,True,True,False,False,False,False,False
34,26,300000,10.0,7800,13.49,0,0.03,0,4,True,False,False,False,False,False,False,True,False,False
35,21,12000,5.0,2500,7.51,1,0.21,0,4,False,False,True,False,False,True,False,False,False,False
36,22,48000,1.0,30000,18.39,1,0.63,0,2,False,False,False,True,False,True,False,False,False,False
37,24,64000,8.0,30000,14.54,1,0.47,1,3,False,False,False,True,True,False,False,False,False,False
38,25,75000,4.0,30000,16.89,1,0.4,1,4,False,False,False,True,False,False,True,False,False,False
39,23,71500,3.0,30000,,1,0.42,0,4,False,False,False,True,True,False,False,False,False,False
40,26,62050,6.0,30000,17.99,1,0.41,0,2,False,False,False,True,False,False,False,True,False,False
41,24,12000,4.0,2500,12.69,1,0.21,0,3,False,False,True,False,False,False,False,False,False,True
42,26,300000,10.0,20000,7.88,0,0.07,0,4,True,False,False,False,False,False,False,False,False,True
43,23,300000,1.0,24250,19.41,0,0.08,1,2,False,False,True,False,False,True,False,False,False,False
44,26,300000,9.0,10000,10.38,0,0.03,0,4,False,False,True,False,False,False,True,False,False,False
45,26,300000,0.0,25000,15.33,0,0.08,0,3,True,False,False,False,False,True,False,False,False,False
46,25,300000,9.0,18000,16.45,0,0.06,0,3,True,False,False,False,False,False,True,False,False,False
47,26,80690,8.0,30000,7.49,1,0.37,0,3,False,False,False,True,False,False,False,False,True,False
48,22,66300,4.0,30000,12.69,1,0.38,0,3,False,False,False,True,False,False,False,True,False,False
49,26,89028,0.0,30000,6.62,1,0.34,0,3,False,False,False,True,True,False,False,False,False,False
50,24,78000,4.0,30000,,1,0.38,1,4,False,False,False,True,True,False,False,False,False,False
51,23,78000,7.0,30000,18.62,1,0.38,1,3,False,False,False,True,True,False,False,False,False,False
52,23,92004,6.0,30000,15.23,1,0.33,1,3,False,False,False,True,False,False,False,False,True,False
53,23,97000,7.0,30000,10.65,1,0.31,0,2,False,False,False,True,False,False,False,False,False,True
54,25,120000,9.0,30000,7.9,0,0.25,0,4,False,False,False,True,False,True,False,False,False,False
55,26,280000,4.0,10000,15.96,0,0.04,1,3,False,False,False,True,False,False,False,False,True,False
56,26,277104,0.0,20000,11.48,0,0.07,0,3,False,False,False,True,False,False,False,False,False,True
57,23,277000,3.0,35000,,0,0.13,0,4,False,False,True,False,False,False,False,False,True,False
